question,label
How many Jack Ryan movies are there?,"{""answerText"": ""5"", ""category"": ""movies"", ""complexityType"": ""count""}"
Which midwest states did Trump win in 2016 but lost in 2020?,"{""answerText"": ""Michigan and Wisconsin"", ""category"": ""politics"", ""complexityType"": ""difference""}"
What is the name of the world of Final Fantasy X?,"{""answerText"": ""Spira"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
How tall is the singer of Friday I'm In Love?,"{""answerText"": ""5'10\"""", ""category"": ""music"", ""complexityType"": ""multihop""}"
Who is the protagonist of the Zelda series?,"{""answerText"": ""Link"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Peter Quill in Guardians of the Galaxy was born in which U.S. state?,"{""answerText"": ""Missouri"", ""category"": ""movies"", ""complexityType"": ""generic""}"
Who was the wife of the 5th US president?,"{""answerText"": ""Elizabeth Monroe"", ""category"": ""politics"", ""complexityType"": ""multihop""}"
"Did Lil Wayne's ""Rebirth"" come out after ""Tha Carter III""?","{""answerText"": ""Yes"", ""category"": ""music"", ""complexityType"": ""yesno""}"
"In 2018, which Grand Slam tennis tournament did Naomi Osaka NOT advance to at least the 3rd round of competition?","{""answerText"": ""Australian Open"", ""category"": ""sports"", ""complexityType"": ""difference""}"
Who is the only person not elected as US president or vice president to serve as president?,"{""answerText"": ""gerald Ford"", ""category"": ""politics"", ""complexityType"": ""difference""}"
What is the tallest mountain in the contiguous U.S. by elevation (feet)?,"{""answerText"": ""Mount Whitney"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
How many states border California?,"{""answerText"": ""3"", ""category"": ""geography"", ""complexityType"": ""count""}"
Did Queen Elizabeth I have the longest reign in the UK?,"{""answerText"": ""No"", ""category"": ""history"", ""complexityType"": ""yesno""}"
Which music group has won the most Grammy Awards?,"{""answerText"": ""U2"", ""category"": ""music"", ""complexityType"": ""superlative""}"
Was the Joseon dynasty founded before 1390?,"{""answerText"": ""No"", ""category"": ""history"", ""complexityType"": ""comparative""}"
Which Animal Crossing game has sold the most copies?,"{""answerText"": ""Animal Crossing: New Horizons"", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
Who was the first Black head coach in the NFL?,"{""answerText"": ""Fritz Pollard"", ""category"": ""sports"", ""complexityType"": ""generic""}"
What is the tenth largest U.S. state?,"{""answerText"": ""Wyoming"", ""category"": ""geography"", ""complexityType"": ""ordinal""}"
Who was the youngest quarterback ever to win Super Bowl MVP?,"{""answerText"": ""Patrick Mahomes"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Who was an American professional basketball player with the Los Angeles Lakers in the National Basketball Association who died in a helicopter crash in 2020?,"{""answerText"": ""Kobe Bean Bryant"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
Which Hunger Games movie is the longest?,"{""answerText"": ""The Hunger Games: Catching Fire"", ""category"": ""movies"", ""complexityType"": ""superlative""}"
Was Trump re-elected in 2020?,"{""answerText"": ""No"", ""category"": ""politics"", ""complexityType"": ""yesno""}"
What was the first Super Mario Brothers mainline game not to release on the NES but the SNES?,"{""answerText"": ""Super Mario World"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
"Who drives for Red Bull F1 racing and was born in Hasselt, Belgium?","{""answerText"": ""Max Verstappen"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
Who was king of the Franks and died in 814?,"{""answerText"": ""Charlemagne"", ""category"": ""history"", ""complexityType"": ""intersection""}"
How many gold medals did the USA team not win in Olympics history?,"{""answerText"": ""4"", ""category"": ""sports"", ""complexityType"": ""difference""}"
"Which series has more games, Forza or Gran Turismo?","{""answerText"": ""forza"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
When is the next Game of Thrones book going to be released?,"{""answerText"": ""Summer 2021"", ""category"": ""books"", ""complexityType"": ""generic""}"
When did Metallica release their third album?,"{""answerText"": ""Mar-86"", ""category"": ""music"", ""complexityType"": ""ordinal""}"
How many members are in Aespa?,"{""answerText"": ""4"", ""category"": ""music"", ""complexityType"": ""count""}"
How many Super Bowls has Warren Moon won?,"{""answerText"": ""0"", ""category"": ""sports"", ""complexityType"": ""count""}"
How many points did the eagles score in the fourth quarter of Super Bowl LII played in February 2018?,"{""answerText"": ""12 points"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Which president created the Secret Service and was assassinated?,"{""answerText"": ""Abraham Lincoln"", ""category"": ""politics"", ""complexityType"": ""intersection""}"
Which novel was not published during Sylvia Path's life?,"{""answerText"": ""Ariel"", ""category"": ""books"", ""complexityType"": ""difference""}"
What is the seventh Assassin's creed game titled?,"{""answerText"": ""Assassin's Creed Rogue"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
Is Rupert Grint taller than Daniel Radcliffe?,"{""answerText"": ""Yes"", ""category"": ""movies"", ""complexityType"": ""comparative""}"
Was the US Kiwi Kraze game the same game as The New Zealand Story from Japan?,"{""answerText"": ""Yes"", ""category"": ""videogames"", ""complexityType"": ""yesno""}"
How many times was J.J. Watt Defensive Player of the Year while playing for the Houston Texans?,"{""answerText"": ""4"", ""category"": ""sports"", ""complexityType"": ""count""}"
When was Madonna's first studio album released?,"{""answerText"": ""Modonna's first album was released in 1983."", ""category"": ""music"", ""complexityType"": ""ordinal""}"
Has Sledgehammer games produced a Call of Duty title?,"{""answerText"": ""Yes"", ""category"": ""videogames"", ""complexityType"": ""yesno""}"
Where is the actor that played the original Obi-Wan Kenobi from?,"{""answerText"": ""England"", ""category"": ""movies"", ""complexityType"": ""multihop""}"
Which Harry Potter movie does not have Lord Voldemort in it?,"{""answerText"": ""Harry Potter and the Prisoner of Azkaban"", ""category"": ""movies"", ""complexityType"": ""difference""}"
When was the third game in Animal Crossing released?,"{""answerText"": ""2012 (New Leaf)"", ""category"": ""videogames"", ""complexityType"": ""multihop""}"
What is the highest elected office in Germany?,"{""answerText"": ""Federal Chancellor"", ""category"": ""politics"", ""complexityType"": ""generic""}"
Which NBA game was released in 2018 and has LeBron James on its cover?,"{""answerText"": ""NBA 2K19"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
What was the third war actually declared by the United States?,"{""answerText"": ""The Spanish American War"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
What was Drake's debut studio album?,"{""answerText"": ""Thank Me Later"", ""category"": ""music"", ""complexityType"": ""generic""}"
What Final Fantasy was Cloud Strife the main character?,"{""answerText"": ""Final Fantasy 7"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Did Gex come out before 1996?,"{""answerText"": ""Yes"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
Who was the first female governor of the smallest state in the USA?,"{""answerText"": ""Gina M. Raimondo"", ""category"": ""politics"", ""complexityType"": ""multihop""}"
What is the nickname of Philadelphia?,"{""answerText"": ""City of Brotherly Love"", ""category"": ""geography"", ""complexityType"": ""generic""}"
Which country decided not to stay in the EU?,"{""answerText"": ""United Kingdom"", ""category"": ""history"", ""complexityType"": ""difference""}"
Which actor starred in The Town and also directed it?,"{""answerText"": ""Ben Affleck"", ""category"": ""movies"", ""complexityType"": ""intersection""}"
Which team won the first Super Bowl?,"{""answerText"": ""The Green Bay Packers"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Who won the 1984 Election?,"{""answerText"": ""Ronald Reagan"", ""category"": ""politics"", ""complexityType"": ""generic""}"
"At the Battle of Midway, which of the three US carriers did not survive the battle?","{""answerText"": ""USS Yorktown (CV-5)"", ""category"": ""history"", ""complexityType"": ""difference""}"
Which movie starred Roger Moore and was set mostly in Louisiana?,"{""answerText"": ""Live and Let Die"", ""category"": ""movies"", ""complexityType"": ""intersection""}"
Which actress was in a leading role in Harry Potter and attended Brown University?,"{""answerText"": ""Emma Watson"", ""category"": ""movies"", ""complexityType"": ""intersection""}"
What was the first Home Alone movie to not feature Macaulay Culkin?,"{""answerText"": ""Home Alone 3"", ""category"": ""movies"", ""complexityType"": ""difference""}"
Did Donald Trump serve two terms as president?,"{""answerText"": ""No"", ""category"": ""politics"", ""complexityType"": ""yesno""}"
"Who died earlier, Neil Armstrong or Buzz Aldrin?","{""answerText"": ""Neil Armstrong"", ""category"": ""history"", ""complexityType"": ""comparative""}"
What year was the Lincoln Memorial built?,"{""answerText"": ""1914"", ""category"": ""geography"", ""complexityType"": ""generic""}"
What is the longest song ever recorded by the band Tool?,"{""answerText"": ""7empest"", ""category"": ""music"", ""complexityType"": ""superlative""}"
Did Collin Morikawa win the 2020 US PGA Championship?,"{""answerText"": ""Yes"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
Did David Baldacchi write more than ten books?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""yesno""}"
Who played the fish amphibian in The Shape of Water?,"{""answerText"": ""Doug Jones"", ""category"": ""movies"", ""complexityType"": ""generic""}"
In what country is the Great Wall of China located?,"{""answerText"": ""China"", ""category"": ""geography"", ""complexityType"": ""generic""}"
Who is the highest paid NBA player?,"{""answerText"": ""Stephen Curry"", ""category"": ""sports"", ""complexityType"": ""generic""}"
"Which series has more games, Resident Evil or Final Fantasy?","{""answerText"": ""Resident Evil"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
How many books are there in the Artemis Fowl series?,"{""answerText"": ""8"", ""category"": ""books"", ""complexityType"": ""generic""}"
Which former Jane's Addiction guitarist joined Red Hot Chili Peppers?,"{""answerText"": ""Dave Navarro"", ""category"": ""music"", ""complexityType"": ""generic""}"
How many United States presidents have James as a first name?,"{""answerText"": ""6"", ""category"": ""politics"", ""complexityType"": ""count""}"
What is the longest road in the world?,"{""answerText"": ""The Pan-American Highway"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
How many Premier league titles has Jürgen Klopp won?,"{""answerText"": ""1"", ""category"": ""sports"", ""complexityType"": ""count""}"
What is the first installment of the Halo series?,"{""answerText"": ""Halo: Combat Evolved"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
What game in the Battlefield series was set during World War I?,"{""answerText"": ""Battlefield 1"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
What is J. K. Rowling's first published novel?,"{""answerText"": ""Harry Potter and the Philosopher's Stone"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
"Which country has a larger population, Brazil or Peru?","{""answerText"": ""Brazil"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
What Roman emperor had the shortest reign?,"{""answerText"": ""Emperor Ortho"", ""category"": ""history"", ""complexityType"": ""superlative""}"
Which U.S. state capitals do not have any interstate highways?,"{""answerText"": ""Juneau, AK; Dover, DE; Jefferson City, MO; Carson City, NV; and Pierre, SD."", ""category"": ""geography"", ""complexityType"": ""difference""}"
When did Dave Matthews release his first album?,"{""answerText"": ""1993"", ""category"": ""music"", ""complexityType"": ""ordinal""}"
Which Lord of the Rings trilogy book is the longest?,"{""answerText"": ""The Fellowship of the Ring"", ""category"": ""books"", ""complexityType"": ""superlative""}"
How many members were in the group that sang It's Gonna Be Me?,"{""answerText"": ""5"", ""category"": ""music"", ""complexityType"": ""count""}"
Since the 1840s on which day of the week have US Presidential Elections been held?,"{""answerText"": ""Tuesday"", ""category"": ""politics"", ""complexityType"": ""generic""}"
Is Bayonetta really called Cereza?,"{""answerText"": ""Yes"", ""category"": ""videogames"", ""complexityType"": ""yesno""}"
Is Budapest the capital of Hungary?,"{""answerText"": ""Yes"", ""category"": ""geography"", ""complexityType"": ""yesno""}"
What Motown singer tried out for the Detroit Lions in 1970?,"{""answerText"": ""Marvin Gaye"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Which U.S. president never won a presidential election?,"{""answerText"": ""Gerald Ford"", ""category"": ""history"", ""complexityType"": ""difference""}"
What is E. L. James worth?,"{""answerText"": ""58 million"", ""category"": ""books"", ""complexityType"": ""generic""}"
"Which war was longer, the Civil War or the Revolutionary War?","{""answerText"": ""The Revolutionary War"", ""category"": ""history"", ""complexityType"": ""comparative""}"
Which game is in the Resident Evil series and has Albert Wesker as the main villain?,"{""answerText"": ""Resident Evil 5"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
What year did Chairman Mao die?,"{""answerText"": ""1976"", ""category"": ""politics"", ""complexityType"": ""generic""}"
When did the author who wrote Don Quixote die?,"{""answerText"": ""1616"", ""category"": ""books"", ""complexityType"": ""multihop""}"
Did Felt ever record for Cherry Red Records?,"{""answerText"": ""Yes"", ""category"": ""music"", ""complexityType"": ""yesno""}"
Which NFL did not win the Super Bowl consecutively in four straight Super Bowls?,"{""answerText"": ""Buffalo Bills"", ""category"": ""sports"", ""complexityType"": ""difference""}"
Which continent contains Mount Vinson and also the southernmost continent?,"{""answerText"": ""Antarctica"", ""category"": ""geography"", ""complexityType"": ""intersection""}"
How many NBA championship titles did Michael Jordan win?,"{""answerText"": ""6"", ""category"": ""sports"", ""complexityType"": ""count""}"
Which French king reigned the longest amount of time?,"{""answerText"": ""Louis XIV"", ""category"": ""history"", ""complexityType"": ""superlative""}"
Is Henry Cavill taller than Ben Affleck?,"{""answerText"": ""No"", ""category"": ""movies"", ""complexityType"": ""comparative""}"
Which continent has had the coldest observed temperature and is the home of the South Pole?,"{""answerText"": ""Antarctica"", ""category"": ""geography"", ""complexityType"": ""intersection""}"
"Which is larger by area, Brazil or Mongolia?","{""answerText"": ""Brazil"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
How old was the youngest singer in the world when they released a professional solo album?,"{""answerText"": ""3"", ""category"": ""music"", ""complexityType"": ""superlative""}"
Who is a member of the band Tool and also of A Perfect Circle?,"{""answerText"": ""Maynard James Keenan"", ""category"": ""music"", ""complexityType"": ""intersection""}"
"How many U.S. presidents were born on April 13, 1743?","{""answerText"": ""1"", ""category"": ""politics"", ""complexityType"": ""count""}"
Does OldBoy have a Chinese remake?,"{""answerText"": ""No"", ""category"": ""movies"", ""complexityType"": ""yesno""}"
What female artist has the most Grammys?,"{""answerText"": ""Beyonce"", ""category"": ""music"", ""complexityType"": ""superlative""}"
Who is the youngest poet to win a Pulitzer Prize?,"{""answerText"": ""Rita Dove"", ""category"": ""books"", ""complexityType"": ""superlative""}"
Which Street Fighter game has the most playable characters?,"{""answerText"": ""Ultra Street Fighter IV"", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
What was the first jazz record that was commercially released?,"{""answerText"": ""Livery Stable Blues"", ""category"": ""music"", ""complexityType"": ""generic""}"
From what game did DayZ originate as a mod?,"{""answerText"": ""Arma 2"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Who was the longest serving prime minister of Canada?,"{""answerText"": ""William Lyon Mackenzie King"", ""category"": ""history"", ""complexityType"": ""superlative""}"
How many times has Chile won the Copa América in men's soccer?,"{""answerText"": ""2"", ""category"": ""sports"", ""complexityType"": ""count""}"
How many Ted movies are there?,"{""answerText"": ""2"", ""category"": ""movies"", ""complexityType"": ""count""}"
"Did Serena Williams win her first Grand Slam tournament before her sister, Venus Williams?","{""answerText"": ""Yes"", ""category"": ""sports"", ""complexityType"": ""comparative""}"
What states did Reagan not win in 1980 against Carter?,"{""answerText"": ""georgia, Hawaii, Maryland, Minnesota, Rhode Island, West Virgina"", ""category"": ""politics"", ""complexityType"": ""difference""}"
When did Kirill Petrenko win his first International Opera Award?,"{""answerText"": ""2021"", ""category"": ""music"", ""complexityType"": ""ordinal""}"
Did Kanye West win the Michael Jackson Video Vanguard Award?,"{""answerText"": ""Yes"", ""category"": ""music"", ""complexityType"": ""yesno""}"
When did the album Doggumentary release?,"{""answerText"": ""2011"", ""category"": ""music"", ""complexityType"": ""generic""}"
Which Star Wars game was both an MMORPG and released by BioWare?,"{""answerText"": ""SWTOR"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
Did Bungie develop Halo?,"{""answerText"": ""Yes"", ""category"": ""videogames"", ""complexityType"": ""yesno""}"
Which game in the Tomb Raider series sold the most copies?,"{""answerText"": ""Tomb Raider (2013)"", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
Which book in the Ranger's Apprentice series was published in 2009?,"{""answerText"": ""Halt's Peril"", ""category"": ""books"", ""complexityType"": ""intersection""}"
How old is the New England Patriot's head coach?,"{""answerText"": ""69"", ""category"": ""sports"", ""complexityType"": ""multihop""}"
Which Pokemon game was released on the Game Boy Advance and features Venusaur on the cover?,"{""answerText"": ""LeafGreen"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
What is the tallest mountain in the most populous state in the U.S.?,"{""answerText"": ""Mount Whitney"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
Does Ron Weasley have more than 4 siblings?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""comparative""}"
Who is the puppet of Link's greatest enemy in Twilight Princess?,"{""answerText"": ""Zant"", ""category"": ""videogames"", ""complexityType"": ""multihop""}"
Did Germany or Japan surrender first in World War II?,"{""answerText"": ""Germany"", ""category"": ""history"", ""complexityType"": ""generic""}"
Who was the first pick in the 2012 NBA draft for the Golden State Warriors?,"{""answerText"": ""Harrison Barnes"", ""category"": ""sports"", ""complexityType"": ""ordinal""}"
How many children does Jude Law have?,"{""answerText"": ""5"", ""category"": ""movies"", ""complexityType"": ""generic""}"
Which Hobbit movie is the longest?,"{""answerText"": ""The Hobbit: An Unexpected Journey"", ""category"": ""movies"", ""complexityType"": ""superlative""}"
Was Kansas part of the Confederate States of America during the Civil War?,"{""answerText"": ""No"", ""category"": ""history"", ""complexityType"": ""yesno""}"
What year was it when the second U.S. president left office?,"{""answerText"": ""1801"", ""category"": ""politics"", ""complexityType"": ""multihop""}"
Which Basketball legend has AIDS?,"{""answerText"": ""Magic Johnson"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
Who was Ramessid dynasty of Egypt's third ruler?,"{""answerText"": ""Ramesses II the Great"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
What kingdom does Link live in?,"{""answerText"": ""Hyrule"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Which active NBA player has the most NBA championships?,"{""answerText"": ""Lebron James"", ""category"": ""sports"", ""complexityType"": ""superlative""}"
Who is the tallest person to hold political office in the United States?,"{""answerText"": ""Luther Strange"", ""category"": ""politics"", ""complexityType"": ""superlative""}"
"Which series has more games, Call of Duty or Uncharted?","{""answerText"": ""Call of Duty"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
How many members were there in the Rolling Stones?,"{""answerText"": ""4"", ""category"": ""music"", ""complexityType"": ""count""}"
How many Star Wars movies has George Lucas directed?,"{""answerText"": ""3"", ""category"": ""movies"", ""complexityType"": ""count""}"
Who as the first NFL team to put their logo on their helmet?,"{""answerText"": ""the Los Angeles Rams"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Did Christopher Columbus come to the Americas in 1492?,"{""answerText"": ""Yes"", ""category"": ""history"", ""complexityType"": ""yesno""}"
How many members were in the band Nirvana?,"{""answerText"": ""3"", ""category"": ""music"", ""complexityType"": ""count""}"
How old is the actor who played Luke Skywalker?,"{""answerText"": ""70"", ""category"": ""movies"", ""complexityType"": ""multihop""}"
How many games are in the Mario Kart series?,"{""answerText"": ""14"", ""category"": ""videogames"", ""complexityType"": ""count""}"
Who was the emperor of Rome when it fell?,"{""answerText"": ""Emperor Romulus Augustulus"", ""category"": ""history"", ""complexityType"": ""generic""}"
"Which state has a higher population per senator, Iowa or Florida?","{""answerText"": ""Florida"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
Who was the 35th president of the USA?,"{""answerText"": ""John F. Kennedy"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
When was Mount Rushmore started?,"{""answerText"": ""10139"", ""category"": ""geography"", ""complexityType"": ""generic""}"
Who is the protagonist of the first God of War video game?,"{""answerText"": ""Kratos"", ""category"": ""videogames"", ""complexityType"": ""multihop""}"
Which game in the Assassin's Creed series takes place in the time of the Vikings?,"{""answerText"": ""Valhalla"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
Did the Wonderful Wizard of OZ come out before 1910?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""comparative""}"
Name the military and political leader who built the large empire that ruled over continental Europe?,"{""answerText"": ""Napolean Bonaparte"", ""category"": ""history"", ""complexityType"": ""multihop""}"
How many Mega Man games were released for the Nintendo Entertainment System?,"{""answerText"": ""6"", ""category"": ""videogames"", ""complexityType"": ""count""}"
How many Grammys has Metallica won for Best Rock Album?,"{""answerText"": ""2"", ""category"": ""music"", ""complexityType"": ""count""}"
What's the most runs scored during an MLB game?,"{""answerText"": ""36"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Which NFL franchise was located in both St. Louis and Los Angeles?,"{""answerText"": ""Rams"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
Which former mayor of New York ran in the 2008 Republican Primaries?,"{""answerText"": ""Rudy Giuliani"", ""category"": ""politics"", ""complexityType"": ""intersection""}"
What is the best-selling handheld gaming system?,"{""answerText"": ""The Nintendo DS"", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
What is the oldest university in England?,"{""answerText"": ""University of Oxford"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
What 400 mile long mountain range is not located on the East Coast?,"{""answerText"": ""Sierra Nevada"", ""category"": ""geography"", ""complexityType"": ""difference""}"
What was the fifth Star Wars movie chronologically?,"{""answerText"": ""Rogue One: A Star Wars Story"", ""category"": ""movies"", ""complexityType"": ""ordinal""}"
What is the longest gap between a Song of Ice and Fire books?,"{""answerText"": ""9 Years"", ""category"": ""books"", ""complexityType"": ""generic""}"
What country was the Inca civilization's capital established in?,"{""answerText"": ""Peru"", ""category"": ""history"", ""complexityType"": ""generic""}"
How did Dustin Diamond die?,"{""answerText"": ""Cancer"", ""category"": ""movies"", ""complexityType"": ""generic""}"
"Which state has more electoral votes, North Carolina or Virginia?","{""answerText"": ""North Carolina"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
Are all Dota 2 heroes playable for free?,"{""answerText"": ""Yes"", ""category"": ""videogames"", ""complexityType"": ""yesno""}"
"Is Washington, D.C. the capital of the United States?","{""answerText"": ""Yes"", ""category"": ""geography"", ""complexityType"": ""yesno""}"
Did Harry Potter and the Prisoner of Azkaban come out before Harry Potter and the Goblet of Fire?,"{""answerText"": ""Yes"", ""category"": ""movies"", ""complexityType"": ""yesno""}"
When did Simone Biles win her fourth Olympic gold medal?,"{""answerText"": ""2016"", ""category"": ""sports"", ""complexityType"": ""ordinal""}"
Did Kurt Vonnegut write Slaughterhouse-Five?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""yesno""}"
What is the largest country in Africa by land mass?,"{""answerText"": ""Algeria"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
Who was the first female senator?,"{""answerText"": ""Rebecca Latimer Felton"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
Which city was the sixth main Grand Theft Auto entry based on?,"{""answerText"": ""New York"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
Does Georgia have less electoral votes than Florida?,"{""answerText"": ""Yes"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
Who is the youngest player in NBA history?,"{""answerText"": ""Andrew Bynum"", ""category"": ""sports"", ""complexityType"": ""superlative""}"
Which Bring Me The Horizon album came out in 2013?,"{""answerText"": ""Sempiternal"", ""category"": ""music"", ""complexityType"": ""intersection""}"
"Which game sold more copies, Kingdom Hearts or Kingdom Hearts 2?","{""answerText"": ""Kingdom Hearts 2"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
Which US president has served the longest?,"{""answerText"": ""Franklin D. Roosevelt"", ""category"": ""history"", ""complexityType"": ""superlative""}"
Did The Broadway Melody win Best Picture?,"{""answerText"": ""Yes"", ""category"": ""movies"", ""complexityType"": ""yesno""}"
"In the 2019 NBA Finals, which team did not win?","{""answerText"": ""Golden State Warriors"", ""category"": ""sports"", ""complexityType"": ""difference""}"
Who was the youngest person to become a senator?,"{""answerText"": "" John Eaton"", ""category"": ""politics"", ""complexityType"": ""superlative""}"
What southeastern state did Donald Trump not win in the 2020 Presidential Election?,"{""answerText"": ""Georgia"", ""category"": ""politics"", ""complexityType"": ""difference""}"
How many Oscars has Julia Roberts been nominated for?,"{""answerText"": ""4"", ""category"": ""movies"", ""complexityType"": ""count""}"
Was to Kill a Mockingbird written in the 1980s?,"{""answerText"": ""No"", ""category"": ""books"", ""complexityType"": ""yesno""}"
How many bird books were published by Neltje Blanchan in the 1900s?,"{""answerText"": ""5"", ""category"": ""books"", ""complexityType"": ""count""}"
What is the third game in the Castlevania series for NES?,"{""answerText"": ""Castlevania III: Dracula's Curse"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
Is Stephen King older than J.K. Rowling?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""comparative""}"
"How tall is the singer of ""Ridin Dirty""?","{""answerText"": ""5'10\"""", ""category"": ""music"", ""complexityType"": ""multihop""}"
What is the largest city in Russia by population?,"{""answerText"": ""Moscow"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
"Which series has more games, Red Dead Redemption or Mafia?","{""answerText"": ""Mafia"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
How many studio albums did Cream release?,"{""answerText"": ""4"", ""category"": ""music"", ""complexityType"": ""count""}"
What was the name of the 15th United States president?,"{""answerText"": ""James Buchanan"", ""category"": ""politics"", ""complexityType"": ""generic""}"
How many states does Australia have?,"{""answerText"": ""6"", ""category"": ""geography"", ""complexityType"": ""count""}"
In what city is Lebanon's Parliament building located?,"{""answerText"": ""Beirut"", ""category"": ""politics"", ""complexityType"": ""generic""}"
Who is the youngest person in Tribe Called Quest?,"{""answerText"": ""q-tip"", ""category"": ""music"", ""complexityType"": ""superlative""}"
When was the third expansion for World of Warcraft released?,"{""answerText"": ""13-Nov-08"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
What is the second Hunger Games book and was released in 2009?,"{""answerText"": ""Catching Fire"", ""category"": ""books"", ""complexityType"": ""intersection""}"
Which Egyptian pharaoh had the shortest reign?,"{""answerText"": ""Tutankhamen"", ""category"": ""history"", ""complexityType"": ""superlative""}"
What is the second book in the Fifty Shades of Grey series called?,"{""answerText"": ""Fifty Shades Darker"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
What nation is ancient Babylonia located in?,"{""answerText"": ""Iraq"", ""category"": ""history"", ""complexityType"": ""generic""}"
Who was the first African American to become governor of a U.S. state?,"{""answerText"": ""P. B. S. Pinchback"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
What was the second book in the Farseer Trilogy?,"{""answerText"": ""Royal Assassin"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
Which mountain range that stretches through 13 states is not located on the West Coast?,"{""answerText"": ""Appalachian Mountains"", ""category"": ""geography"", ""complexityType"": ""difference""}"
Which 1960s band featured Eric Clapton and Jimmy Page?,"{""answerText"": ""The Yardbirds"", ""category"": ""music"", ""complexityType"": ""generic""}"
Did more Americans die in World War II or the American Civil War?,"{""answerText"": ""American Civil War"", ""category"": ""history"", ""complexityType"": ""comparative""}"
When was the first Animal Crossing spin-off released in North America?,"{""answerText"": ""9/25/15"", ""category"": ""videogames"", ""complexityType"": ""multihop""}"
What is the name of the tallest building in the capital city of Connecticut?,"{""answerText"": ""City Place I"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
How many Saturn Awards did Will Smith win?,"{""answerText"": ""1"", ""category"": ""movies"", ""complexityType"": ""count""}"
Who had the longest number one song in the Billboard?,"{""answerText"": ""Lil Nas X - Old Town Road"", ""category"": ""music"", ""complexityType"": ""superlative""}"
How many presidents have died in office?,"{""answerText"": ""8"", ""category"": ""politics"", ""complexityType"": ""count""}"
Which movie was directed by its leading role actor and won the Oscar for Best Picture in 1996?,"{""answerText"": ""Braveheart"", ""category"": ""movies"", ""complexityType"": ""intersection""}"
What state is home to the most Ivy League colleges?,"{""answerText"": ""New York"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
